,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
234,Privacy Index FTX-PRIV,"$1,003.90",+0.52%,$111.9k,$1.7m,+0.63%,0.01%,15.06,-0.0036%,-0.0009%,$0.0
235,Mdex-MDX,$0.0731,+2.45%,$93.0k,$26.7k,+1.41%,0.00%,0.29,+0.0100%,+0.0100%,$0.0
236,Dragon Index FTX-DRGN,"$1,505.00",+0.07%,$89.3k,$684.3k,-1.70%,0.00%,7.67,-0.0039%,-0.0070%,$0.0
237,Umee-UMEE,$0.0118,+1.03%,$86.2k,$179.0k,+5.06%,0.00%,2.08,+0.0526%,-0.0495%,$0.0
238,ASD-ASD,$0.0831,-0.32%,$83.3k,$1.8m,-0.25%,0.01%,21.40,-0.0011%,-0.0010%,$0.1
239,BiLira-TRYB,$0.0543,-0.15%,$82.0k,$1.2m,-2.88%,0.01%,14.63,-0.0019%,-0.0006%,$0.0
240,MobileCoin-MOB,$0.9693,-0.59%,$76.6k,$372.0k,+2.69%,0.00%,4.86,+0.0073%,+0.0109%,$0.0
241,Nervos Network-CKB,$0.0036,-0.28%,$72.0k,$178.8k,-1.37%,0.00%,2.48,-0.0043%,-0.0043%,$0.0
242,RSS3-RSS3,n/a,n/a,$71.1k,$513.5k,+2.05%,0.00%,7.22,+0.0100%,+0.0100%,$12.5
243,SUN-SUN,$0.0059,+0.05%,$66.7k,$318.1k,+1.49%,0.00%,4.77,+0.0100%,+0.0100%,$0.0
244,Uniswap Index FTX-UNISWAP,"$16,175.00",-1.07%,$49.6k,$1.3m,-1.13%,0.01%,26.99,+0.0092%,+0.0089%,$667.9
245,Star Atlas DAO-POLIS,$0.4011,+2.65%,$48.0k,$328.8k,+5.61%,0.00%,6.85,+0.0001%,+0.0003%,$0.0
246,MAPS-MAPS,$0.1508,-0.72%,$44.4k,$371.6k,-3.90%,0.00%,8.37,+0.0101%,+0.0078%,$1.2k
247,Step Finance-STEP,$0.0353,-0.47%,$43.4k,$357.2k,-2.51%,0.00%,8.24,-0.0037%,-0.0040%,$55.4
248,Mango-MNGO,$0.0457,+0.30%,$41.0k,$264.5k,+1.54%,0.00%,6.46,+0.0074%,+0.0008%,$0.0
249,Brazilian Digital Token-BRZ,$0.1907,+0.45%,$32.2k,$3.3m,+0.67%,0.01%,101.61,-0.0037%,-0.0009%,$0.0
250,USD Coin-USDC,$1.00,+0.00%,$31.1k,$1.2m,-2.20%,0.00%,37.73,+0.0000%,+0.0000%,$0.0
251,Oxygen-OXY,$0.0511,+0.41%,$28.4k,$401.5k,+0.44%,0.00%,14.14,-0.0055%,-0.0118%,$184.2
252,ETHPOW-ETHPOW,n/a,n/a,$15.0k,$327.2k,-3.10%,0.00%,21.76,n/a,n/a,$0.0
