,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
122,Cartesi-CTSI,$0.1486,+4.57%,$17.3m,$4.0m,+21.71%,0.02%,0.23,+0.0100%,+0.0063%,$32.8k,2022-09-08 21:48:25.112119
123,Hedera-HBAR,$0.0607,+0.33%,$16.3m,$7.9m,+2.80%,0.03%,0.49,+0.0083%,+0.0079%,$7.8k,2022-09-08 21:48:25.112119
124,Livepeer-LPT,$9.94,-2.07%,$16.2m,$7.3m,+2.95%,0.03%,0.45,+0.0056%,+0.0087%,$5.1k,2022-09-08 21:48:25.112119
125,Alpha Finance Lab-ALPHA,$0.1182,+1.03%,$15.9m,$5.4m,-1.73%,0.02%,0.34,+0.0108%,-0.0022%,$32.3k,2022-09-08 21:48:25.112119
126,ARPA Chain-ARPA,$0.0381,-0.98%,$15.9m,$4.3m,-13.45%,0.02%,0.27,+0.0097%,+0.0100%,$13.1k,2022-09-08 21:48:25.112119
127,Internet Computer-ICP,$6.48,+0.06%,$15.6m,$13.9m,+1.87%,0.06%,0.89,+0.0021%,+0.0071%,$20.0k,2022-09-08 21:48:25.112119
128,Origin Protocol-OGN,$0.1705,+1.18%,$15.0m,$6.7m,-1.23%,0.03%,0.45,+0.0100%,+0.0100%,$7.3k,2022-09-08 21:48:25.112119
129,Tether-USDT,$1.0000,+0.00%,$14.9m,$279.6m,+23.33%,1.19%,18.77,-0.0006%,-0.0006%,$0.0,2022-09-08 21:48:25.112119
130,Holo-HOT,$0.0020,-0.54%,$14.9m,$4.9m,+1.79%,0.02%,0.33,+0.0069%,+0.0061%,$13.4k,2022-09-08 21:48:25.112119
131,Linear-LINA,$0.0080,+0.86%,$14.7m,$4.4m,+1.92%,0.02%,0.30,-0.0050%,-0.0073%,$24.0k,2022-09-08 21:48:25.112119
132,Ren-REN,$0.1221,+0.31%,$14.6m,$8.0m,+0.63%,0.03%,0.55,+0.0071%,+0.0060%,$13.6k,2022-09-08 21:48:25.112119
133,NKN-NKN,$0.0991,+2.04%,$14.6m,$3.3m,+9.66%,0.01%,0.23,-0.0050%,+0.0080%,$36.9k,2022-09-08 21:48:25.112119
134,OKB-OKB,$16.57,+18.30%,$14.5m,$5.3m,+19.66%,0.02%,0.37,-0.0014%,-0.0730%,$36.5k,2022-09-08 21:48:25.112119
135,Celer Network-CELR,$0.0176,+0.65%,$14.3m,$4.9m,-1.90%,0.02%,0.34,+0.0100%,+0.0100%,$18.9k,2022-09-08 21:48:25.112119
136,Reef-REEF,$0.0036,-0.27%,$14.1m,$4.6m,+2.80%,0.02%,0.32,+0.0070%,+0.0010%,$14.5k,2022-09-08 21:48:25.112119
137,DFI.Money-YFII,$942.20,-3.04%,$14.0m,$17.9m,-4.78%,0.08%,1.29,-0.1172%,-0.1224%,$6.7k,2022-09-08 21:48:25.112119
138,Celo-CELO,$0.8295,+1.92%,$13.9m,$8.8m,+2.45%,0.04%,0.63,+0.0106%,+0.0041%,$3.3k,2022-09-08 21:48:25.112119
139,Horizen-ZEN,$15.52,+3.79%,$13.9m,$6.5m,-1.47%,0.03%,0.46,+0.0243%,+0.0037%,$14.5k,2022-09-08 21:48:25.112119
140,Injective Protocol-INJ,$1.53,-1.74%,$13.6m,$2.5m,+11.78%,0.01%,0.18,+0.0100%,+0.0100%,$9.8k,2022-09-08 21:48:25.112119
141,IOST-IOST,$0.0127,+0.26%,$12.9m,$11.1m,-1.16%,0.05%,0.86,+0.0008%,+0.0058%,$8.2k,2022-09-08 21:48:25.112119
142,Icon-ICX,$0.2711,+3.16%,$12.7m,$4.0m,+0.08%,0.02%,0.31,-0.0043%,-0.0050%,$6.8k,2022-09-08 21:48:25.112119
143,SKALE Network-SKL,$0.0481,+1.13%,$12.7m,$5.8m,+3.99%,0.02%,0.46,+0.0018%,+0.0041%,$10.6k,2022-09-08 21:48:25.112119
144,StormX-STMX,$0.0078,+3.66%,$12.7m,$3.6m,+1.60%,0.02%,0.28,+0.0034%,+0.0033%,$9.8k,2022-09-08 21:48:25.112119
145,Binance BTCDOM Index-BTCDOM,"$1,126.40",-0.18%,$11.0m,$11.2m,+3.91%,0.05%,1.02,+0.0473%,+0.0722%,$55.4k,2022-09-08 21:48:25.112119
146,Wootrade-WOO,$0.1526,-0.09%,$10.4m,$4.1m,-0.13%,0.02%,0.39,+0.0100%,+0.0100%,$4.6k,2022-09-08 21:48:25.112119
147,Dusk Network-DUSK,$0.1301,-0.35%,$9.5m,$3.8m,+6.04%,0.02%,0.40,+0.0019%,-0.0025%,$555.3,2022-09-08 21:48:25.112119
148,Automata Network-ATA,$0.1541,+0.85%,$8.8m,$2.4m,-1.65%,0.01%,0.27,+0.0100%,+0.0100%,$205.6,2022-09-08 21:48:25.112119
149,IoTeX-IOTX,$0.0348,-2.15%,$8.4m,$5.9m,-1.49%,0.02%,0.70,+0.0100%,+0.0100%,$5.4k,2022-09-08 21:48:25.112119
150,APENFT-NFT,$0.0000,-0.25%,$8.3m,$464.5k,+8.24%,0.00%,0.06,-0.0862%,+0.1260%,$469.4,2022-09-08 21:48:25.112119
151,Render Token-RNDR,$0.5519,+7.28%,$7.9m,$2.9m,+11.81%,0.01%,0.37,-0.0798%,-0.0376%,$51.4k,2022-09-08 21:48:25.112119
152,SafePal-SFP,$0.3762,+1.16%,$7.8m,$4.6m,+1.35%,0.02%,0.58,+0.0011%,+0.0011%,$11.8k,2022-09-08 21:48:25.112119
153,Yield Guild Games-YGG,$0.4710,-4.60%,$7.6m,$4.1m,-2.26%,0.02%,0.54,+0.0182%,-0.0102%,$8.2k,2022-09-08 21:48:25.112119
154,Mines of Dalarnia-DAR,$0.2379,-0.39%,$7.5m,$3.0m,+6.36%,0.01%,0.40,+0.0100%,+0.0100%,$3.9k,2022-09-08 21:48:25.112119
155,TomoChain-TOMO,$0.4816,-0.07%,$7.2m,$3.1m,+1.39%,0.01%,0.43,+0.0074%,+0.0053%,$9.5k,2022-09-08 21:48:25.112119
156,Adventure Gold-AGLD,$0.4011,-5.09%,$6.9m,$2.3m,-20.43%,0.01%,0.33,+0.0168%,-0.0456%,$6.9k,2022-09-08 21:48:25.112119
157,Klaytn-KLAY,$0.2189,+1.16%,$6.7m,$4.8m,+1.10%,0.02%,0.72,+0.0048%,+0.0057%,$431.4,2022-09-08 21:48:25.112119
158,Crypto.com Coin-CRO,$0.1151,+1.50%,$6.4m,$12.1m,+3.53%,0.05%,1.88,-0.0060%,+0.0055%,$584.1,2022-09-08 21:48:25.112119
159,LooksRare-LOOKS,$0.2617,-1.14%,$6.1m,$12.6m,-1.37%,0.05%,2.08,-0.0094%,-0.0039%,$5.6k,2022-09-08 21:48:25.112119
160,Perpetual Protocol-PERP,$0.6865,+3.13%,$6.0m,$1.9m,+16.90%,0.01%,0.32,+0.0711%,-0.0318%,$1.4k,2022-09-08 21:48:25.112119
161,Bancor-BNT,$0.4751,+1.55%,$5.9m,$2.0m,+6.66%,0.01%,0.34,-0.1827%,-0.0254%,$3.9k,2022-09-08 21:48:25.112119
162,DeFi Binance-DEFI,$743.00,+0.68%,$5.8m,$1.8m,+1.28%,0.01%,0.32,+0.0100%,+0.0100%,$3.1k,2022-09-08 21:48:25.112119
163,JUST-JST,$0.0266,+2.43%,$5.1m,$1.7m,-0.01%,0.01%,0.32,+0.0178%,-0.0125%,$0.0,2022-09-08 21:48:25.112119
164,DigiByte-DGB,$0.0100,+1.01%,$5.0m,$3.4m,-1.28%,0.01%,0.68,+0.0100%,+0.0100%,$2.3k,2022-09-08 21:48:25.112119
165,Badger DAO-BADGER,$5.09,+0.08%,$4.7m,$2.6m,+2.06%,0.01%,0.55,-0.0073%,-0.0261%,$626.2,2022-09-08 21:48:25.112119
