,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H,date_time
185,DeFi FTX-DEFI,"$2,711.20",-2.38%,$1.8m,$4.5m,+7.49%,0.02%,2.46,-0.0058%,-0.0054%,$0.0,2022-09-16 12:16:28.794092
186,Siacoin-SC,$0.0037,-2.26%,$1.8m,$892.0k,+4.75%,0.00%,0.49,+0.0625%,-0.0011%,$2.2k,2022-09-16 12:16:28.794092
187,Moonbeam-GLMR,$0.4861,-3.46%,$1.8m,$2.9m,-3.47%,0.01%,1.64,-0.0113%,-0.0108%,$4.5k,2022-09-16 12:16:28.794092
188,Biconomy-BICO,$0.4852,+3.13%,$1.7m,$939.1k,+5.84%,0.00%,0.56,-0.0146%,-0.0064%,$208.8,2022-09-16 12:16:28.794092
189,Gods Unchained-GODS,$0.3067,-1.90%,$1.5m,$350.6k,+0.37%,0.00%,0.23,+0.0765%,-0.0141%,$375.2,2022-09-16 12:16:28.794092
190,BitShares-BTS,$0.0110,+3.59%,$1.5m,$109.7k,+16.93%,0.00%,0.07,-0.0779%,-0.4650%,$1.0k,2022-09-16 12:16:28.794092
191,Chia Network-XCH,$35.17,-0.26%,$1.4m,$1.1m,+8.47%,0.01%,0.80,+0.0392%,+0.0540%,$352.7,2022-09-16 12:16:28.794092
192,Dogelon Mars-ELON,$0.0000,-3.10%,$1.3m,$390.5k,-3.14%,0.00%,0.30,-0.0250%,-0.0019%,$2.4k,2022-09-16 12:16:28.794092
193,Privacy Index FTX-PRIV,$965.00,-3.02%,$1.3m,$1.9m,+163.72%,0.01%,1.49,+0.0010%,-0.0007%,$0.0,2022-09-16 12:16:28.794092
194,Frax Share-FXS,$5.34,-1.97%,$1.1m,$5.3m,-1.82%,0.02%,4.82,-0.2334%,-0.2341%,$208.8,2022-09-16 12:16:28.794092
195,UMA-UMA,$2.59,-0.05%,$1.1m,$675.7k,-2.57%,0.00%,0.64,+0.1199%,-0.1794%,$0.0,2022-09-16 12:16:28.794092
196,Everdome-DOME,$0.0016,-1.26%,$1.0m,$783.1k,-1.77%,0.00%,0.75,+0.1539%,+0.0085%,$3.3k,2022-09-16 12:16:28.794092
197,Alchemy Pay-ACH,$0.0117,-2.19%,$1.0m,$350.7k,+4.53%,0.00%,0.35,-0.0789%,-0.1051%,$0.0,2022-09-16 12:16:28.794092
198,Tribe-TRIBE,$0.2287,-1.65%,$982.2k,$65.8k,+21.22%,0.00%,0.07,+0.0100%,-0.1739%,$38.8,2022-09-16 12:16:28.794092
199,NYM-NYM,$0.2941,-0.39%,$955.1k,$697.3k,+4.57%,0.00%,0.73,+0.0048%,+0.0291%,$0.0,2022-09-16 12:16:28.794092
200,Astar-ASTR,$0.0373,-2.77%,$943.2k,$874.9k,-8.37%,0.00%,0.93,-0.0204%,+0.0080%,$2.7k,2022-09-16 12:16:28.794092
201,Cream Finance-CREAM,$16.55,-2.55%,$931.2k,$1.2m,-1.90%,0.01%,1.24,+0.0079%,+0.0090%,$1.8k,2022-09-16 12:16:28.794092
202,Boba Network-BOBA,$0.3194,-2.92%,$925.3k,$943.8k,-6.46%,0.00%,1.02,+0.0040%,+0.0062%,$2.0k,2022-09-16 12:16:28.794092
203,Wrapped NXM-WNXM,$15.55,-3.75%,$879.1k,$340.5k,-1.26%,0.00%,0.39,-0.0434%,+0.0980%,$978.6,2022-09-16 12:16:28.794092
204,Kadena-KDA,$1.51,-3.10%,$871.1k,$982.6k,-3.52%,0.00%,1.13,+0.0100%,+0.0100%,$258.8,2022-09-16 12:16:28.794092
205,Nervos Network-CKB,$0.0039,-4.84%,$798.0k,$280.6k,-21.85%,0.00%,0.35,+0.0100%,+0.0100%,$2.9k,2022-09-16 12:16:28.794092
206,Illuvium-ILV,$65.30,-6.58%,$777.3k,$786.4k,-2.13%,0.00%,1.01,-0.0090%,-0.0090%,$5.4k,2022-09-16 12:16:28.794092
207,Flux-FLUX,$1.07,-9.90%,$742.8k,$269.4k,-4.81%,0.00%,0.36,-0.0072%,-0.0042%,$39.0k,2022-09-16 12:16:28.794092
208,Tether Gold-XAUT,"$1,657.43",-1.48%,$727.0k,$1.7m,+0.74%,0.01%,2.37,-0.0081%,-0.0066%,$179.0k,2022-09-16 12:16:28.794092
209,Ampleforth-AMPL,$1.01,-4.17%,$692.8k,$569.4k,-8.74%,0.00%,0.82,+0.0119%,-0.0096%,$2.5k,2022-09-16 12:16:28.794092
