,Coin,Price,Change 24H,Vol. 24H,Open Interest,OI Change 24H,OI Share,OI / VOL24H,Funding (avg),Pred. Funding (avg),Liqs. 24H
236,Umee-UMEE,$0.0119,+2.07%,$91.1k,$169.7k,-3.60%,0.00%,1.86,+0.0350%,+0.0548%,$433.8
237,MAPS-MAPS,$0.1518,-0.59%,$89.4k,$383.8k,-3.17%,0.00%,4.29,-0.0123%,-0.0087%,$1.1k
238,Media Network-MEDIA,$8.80,-0.82%,$80.1k,$1.0m,+1.62%,0.00%,12.84,-0.0078%,+0.0000%,$230.5
239,RSS3-RSS3,n/a,n/a,$69.7k,$506.2k,-4.03%,0.00%,7.26,+0.0100%,+0.0100%,$0.0
240,Creditcoin-CTC,n/a,n/a,$68.6k,$114.7k,+11.74%,0.00%,1.67,+0.0100%,+0.0100%,$0.0
241,Nervos Network-CKB,$0.0036,-1.79%,$65.5k,$182.8k,+1.40%,0.00%,2.79,+0.0100%,+0.0100%,$2.1k
242,BiLira-TRYB,$0.0543,-0.04%,$52.2k,$1.2m,+1.55%,0.01%,23.67,-0.0082%,-0.0087%,$0.0
243,Step Finance-STEP,$0.0355,+0.38%,$51.0k,$362.0k,+0.48%,0.00%,7.10,+0.0070%,-0.0027%,$421.7
244,ASD-ASD,$0.0838,+1.75%,$47.7k,$1.8m,+1.87%,0.01%,37.71,-0.0032%,-0.0012%,$0.1
245,Mdex-MDX,$0.0718,+1.70%,$44.2k,$26.6k,-8.26%,0.00%,0.60,+0.0100%,+0.0100%,$0.0
246,Star Atlas DAO-POLIS,$0.3910,+2.85%,$42.6k,$307.2k,+3.25%,0.00%,7.21,-0.0004%,+0.0021%,$0.0
247,SUN-SUN,$0.0059,+2.46%,$38.4k,$315.1k,+3.16%,0.00%,8.20,+0.0100%,+0.0100%,$0.0
248,Oxygen-OXY,$0.0509,+0.95%,$34.8k,$399.7k,+1.91%,0.00%,11.48,-0.0044%,-0.0063%,$252.6
249,Mango-MNGO,$0.0457,+1.46%,$33.0k,$260.6k,-0.65%,0.00%,7.89,+0.0063%,+0.0000%,$1.8
250,Eden-EDEN,$0.1020,-1.92%,$23.6k,$281.2k,-1.67%,0.00%,11.89,-0.0033%,-0.0081%,$398.4
251,Brazilian Digital Token-BRZ,$0.1898,+0.06%,$5.5k,$3.2m,+0.32%,0.01%,589.84,+0.0001%,+0.0023%,$0.0
